,Mar-2026,Feb-2026,Jan-2026,Dec-2025,Nov-2025,Oct-2025,Sep-2025,Aug-2025,Jul-2025,Jun-2025,May-2025,Apr-2025,Mar-2025,Feb-2025,Jan-2025,Dec-2024,Nov-2024,Oct-2024,Sep-2024,Aug-2024,Jul-2024,Jun-2024,May-2024,Apr-2024,Mar-2024,Feb-2024,Jan-2024,Dec-2023,Nov-2023,Oct-2023,Sep-2023,Aug-2023,Jul-2023,Jun-2023,May-2023,Apr-2023,Mar-2023,Feb-2023,Jan-2023,Dec-2022,Nov-2022,Oct-2022,Sep-2022,Aug-2022,Jul-2022,Jun-2022,May-2022,Apr-2022,Mar-2022,Feb-2022,Jan-2022
Approx Bank Balance,"₹8,21,406","₹7,00,073","₹8,81,409","₹6,26,805","₹4,85,564","₹3,55,397","₹3,72,584","₹9,31,529","₹13,10,843","₹12,37,637","₹14,15,614","₹12,09,742","₹16,30,262","₹13,83,860","₹11,19,537","₹3,90,618","₹3,37,084","₹6,09,617","₹6,66,613","₹8,57,893","₹7,37,801","₹5,17,090","₹4,84,201","₹3,62,764","₹2,48,153","₹4,29,389","₹5,51,694","₹2,54,170","₹3,33,784","₹4,62,753","₹4,15,809","₹3,09,545","₹2,34,053","₹2,00,193","₹2,27,204","₹89,934","₹1,60,088","₹1,53,717","₹32,115","₹3,17,395","₹2,81,205","₹2,00,417","₹1,23,426","₹87,131",,,,,,,
Investment Target As per Comp Salary (50%),"₹1,42,000","₹1,42,000","₹1,40,000","₹1,48,000","₹92,000","₹1,28,000","₹1,28,000","₹1,22,000","₹1,22,000","₹1,22,000","₹1,85,000","₹1,31,000","₹1,29,000","₹1,30,000","₹1,30,000","₹1,30,000","₹2,04,000","₹1,24,000","₹1,24,000","₹1,24,000","₹1,24,000","₹1,24,000","₹1,24,000",₹0,₹0,"₹83,000","₹1,22,000","₹1,12,000","₹36,000","₹71,000","₹54,000","₹71,000","₹71,000","₹64,000","₹53,000","₹62,000","₹62,000","₹67,000","₹72,000","₹72,000","₹72,000","₹72,000","₹72,000","₹72,000",,,,,,,
Salary Investment Target Behind by,"₹1,03,000","-₹147,000","-₹1,000","₹50,000","-₹126,000","₹24,218","₹18,000","₹12,000","₹11,000","-₹169,000","₹94,000","₹40,000","-₹36,025","₹28,000","₹28,000","₹23,000","₹97,000","₹77,000","-₹19,500","₹1,42,007","₹72,500","₹32,500","₹72,500","-₹52,500","₹28,318","₹18,000","₹57,000","₹7,000","-₹37,000","₹1,000","-₹10,500","₹1,000",₹0,"-₹85,500","₹6,272","-₹7,589","-₹43,328","-₹56,500","-₹84,500","-₹110,590","-₹91,164","₹6,200","-₹27,500","-₹18,000",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investment,"₹39,000","₹2,89,000","₹1,41,000","₹98,000","₹2,18,000","₹1,03,782","₹1,10,000","₹1,10,000","₹1,11,000","₹2,91,000","₹91,000","₹91,000","₹1,65,025","₹1,02,000","₹1,02,000","₹1,07,000","₹1,07,000","₹47,000","₹1,43,500","-₹18,007","₹51,500","₹91,500","₹51,500","₹52,500","-₹28,318","₹65,000","₹65,000","₹1,05,000","₹73,000","₹70,000","₹64,500","₹70,000","₹71,000","₹1,49,500","₹69,500","₹75,500","₹2,57,100","₹1,23,500","₹1,56,500","₹1,82,590","₹1,63,164","₹65,800","₹99,500","₹90,000",,,,,,,
Emergency Fund,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹80,000",₹0,₹0,"₹1,00,000","₹50,000","₹3,000","₹13,000","₹30,000","₹15,000","₹35,000",₹0,,,,,,,
Zerodha Fund Credit,₹0,₹0,"₹1,02,000",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"-₹143,400",₹0,"₹50,000",₹0,₹0,"-₹87,818",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹5,000",₹0,"₹20,000",₹0,₹0,"₹24,238",₹0,₹0,₹0,,,,,,,
Smallcase,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹5,762",₹0,₹0,₹0,,,,,,,
Stocks,₹0,₹0,₹0,₹0,₹0,"-₹6,218",₹0,₹0,₹0,₹0,₹0,₹0,"₹13,025",₹0,₹0,"₹5,000","₹5,000",₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹3,000",₹0,₹0,₹0,₹0,,,,,,,
MF,"₹21,000","₹2,71,000","₹21,000","₹80,000","₹2,00,000","₹92,000","₹92,000","₹92,000","₹93,000","₹2,73,000","₹73,000","₹73,000","₹73,000","₹73,000","₹73,000","₹73,000","₹73,000","₹18,000","₹1,12,000","₹20,000","₹20,000","₹20,000","₹20,000","₹20,000","₹20,000","₹20,000","₹20,000","₹20,000","₹23,000","₹20,000","₹20,000","₹20,000","₹21,000","₹25,000","₹25,000","₹25,000","₹27,600","₹25,000","₹25,000","₹26,000","₹8,000","₹5,000","₹6,500","₹12,000",,,,,,,
