,Mar-2026,Feb-2026,Jan-2026,Dec-2025,Nov-2025,Oct-2025,Sep-2025,Aug-2025,Jul-2025,Jun-2025,May-2025,Apr-2025,Mar-2025,Feb-2025,Jan-2025,Dec-2024,Nov-2024,Oct-2024,Sep-2024,Aug-2024,Jul-2024,Jun-2024,May-2024,Apr-2024,Mar-2024,Feb-2024,Jan-2024,Dec-2023,Nov-2023,Oct-2023,Sep-2023,Aug-2023,Jul-2023,Jun-2023,May-2023,Apr-2023,Mar-2023,Feb-2023,Jan-2023,Dec-2022,Nov-2022,Oct-2022,Sep-2022,Aug-2022,Jul-2022,Jun-2022,May-2022,Apr-2022,Mar-2022,Feb-2022,Jan-2022
ELSS,"₹6,02,402","₹4,21,000","₹4,21,000","₹4,21,000","₹4,21,000","₹6,03,494","₹5,81,196","₹5,79,655","₹6,02,402","₹5,75,593","₹5,54,362","₹5,35,884","₹4,99,089","₹5,40,855","₹5,58,700","₹5,88,380","₹5,83,716","₹6,23,846","₹6,00,938","₹5,81,161","₹5,43,126","₹5,07,862","₹4,86,002","₹4,61,183","₹4,40,036","₹4,06,787","₹3,78,727","₹3,48,041","₹3,39,682","₹3,35,518","₹3,13,747","₹2,98,004","₹2,69,488","₹2,48,810","₹2,38,091","₹2,13,168","₹2,13,502","₹2,82,968","₹2,91,756","₹2,67,941","₹2,90,186","₹2,84,327","₹2,86,775","₹2,85,533",,,,,,,
MF ClearTax,"₹21,56,189","₹17,25,000","₹17,25,000","₹17,25,000","₹16,51,100","₹20,71,676","₹19,45,949","₹18,57,734","₹21,56,189","₹17,08,775","₹15,77,239","₹14,55,111","₹12,93,728","₹12,98,074","₹12,32,256","₹12,41,612","₹11,07,018","₹11,19,493","₹10,72,516","₹10,29,478","₹9,99,432","₹9,11,552","₹8,81,110","₹8,69,200","₹8,35,477","₹7,95,662","₹7,53,367","₹6,91,693","₹5,94,450","₹5,84,748","₹5,55,845","₹5,48,833","₹5,09,183","₹4,96,026","₹4,78,169","₹4,46,492","₹4,62,997","₹3,78,152","₹3,73,660","₹2,48,039","₹3,86,119","₹3,77,947","₹3,79,117","₹3,78,614",,,,,,,
MF Coin,"₹12,01,752","₹8,42,000","₹8,21,000","₹7,41,000","₹5,20,000","₹5,82,225","₹5,80,225","₹5,80,225","₹12,01,752","₹3,60,571","₹3,60,571","₹3,60,571","₹3,60,571","₹3,60,571","₹3,60,571","₹3,60,571","₹3,60,571","₹3,58,464","₹3,56,199","₹3,53,857","₹3,51,379","₹3,49,469","₹3,47,021","₹3,45,541","₹3,43,466","₹3,40,913","₹3,38,546","₹3,36,241","₹3,34,227","₹3,32,550","₹3,48,261","₹3,45,943","₹3,42,845","₹2,40,906","₹2,18,409","₹1,76,208","₹1,63,097","₹1,65,300","₹1,46,607","₹1,33,953","₹1,32,403","₹1,31,352","₹1,32,437","₹1,31,710",,,,,,,
Stocks+SGB,"₹2,93,004","₹2,75,559","₹1,99,877","₹1,87,226","₹1,87,226","₹1,87,226","₹1,87,226","₹1,49,832","₹1,49,832","₹1,45,445","₹1,37,609","₹1,13,084","₹1,13,084","₹1,12,951","₹1,15,237","₹1,14,538","₹1,12,633","₹1,07,424","₹1,06,280","₹2,54,137","₹2,36,648","₹1,75,655","₹1,73,483","₹1,74,403","₹1,69,628","₹1,61,449","₹2,62,788","₹2,56,713","₹2,41,380","₹2,46,482","₹2,42,273","₹2,44,157","₹2,63,893","₹2,36,109","₹2,47,421","₹2,29,163","₹2,19,988","₹1,98,620","₹1,38,727","₹1,30,012","₹1,24,383","₹1,20,222","₹1,21,250","₹1,24,728",,,,,,,
% change,13.97%,6.19%,4.08%,3.71%,-6.77%,-0.99%,-3.16%,-16.16%,19.03%,4.53%,6.13%,1.20%,7.42%,20.82%,-5.91%,-0.65%,-4.96%,-4.79%,3.25%,4.81%,10.38%,3.56%,8.61%,-4.23%,0.90%,-1.66%,0.71%,11.36%,-0.89%,4.15%,6.57%,2.91%,10.44%,5.65%,7.96%,-0.13%,1.98%,0.11%,2.10%,0.10%,3.65%,2.32%,3.00%,,,,,,,,
Total Investment,"₹61,97,259","₹51,73,921","₹50,54,689","₹49,39,488","₹46,22,038","₹52,64,783","₹50,94,258","₹49,26,108","₹58,23,337","₹44,83,046","₹42,53,896","₹40,17,057","₹37,26,241","₹37,60,774","₹36,76,970","₹36,83,428","₹38,99,495","₹39,56,278","₹38,35,266","₹38,85,380","₹37,52,415","₹35,12,714","₹34,46,903","₹35,27,884","₹34,47,486","₹33,15,142","₹33,02,323","₹31,55,929","₹29,72,214","₹29,15,486","₹28,36,351","₹27,71,222","₹26,67,993","₹24,61,452","₹23,24,901","₹21,66,309","₹21,68,892","₹22,00,241","₹20,80,675","₹18,84,944","₹19,91,541","₹19,56,394","₹19,63,643","₹18,99,798",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Available Cash,"₹15,03,350","₹16,38,525","₹13,91,448","₹12,74,821","₹13,88,947","₹11,43,666","₹13,72,868","₹17,34,860","₹20,18,599","₹21,90,628","₹21,32,525","₹20,07,407","₹21,95,889","₹17,96,697","₹10,01,667","₹12,58,849","₹14,73,098","₹17,87,433","₹21,27,778","₹19,02,084","₹17,87,300","₹15,62,924","₹14,89,396","₹12,19,975","₹14,53,651","₹15,17,150","₹15,68,916","₹16,73,715","₹14,30,144","₹14,80,188","₹13,94,268","₹12,21,939","₹12,01,323","₹10,91,695","₹9,99,614","₹9,40,593","₹9,63,785","₹9,62,509","₹10,45,243","₹11,77,459","₹10,37,105","₹9,82,386","₹9,38,186","₹8,85,570",,,,,,,
Available Hard Cash,"₹51,54,295","₹44,81,084","₹41,37,325","₹39,28,047","₹37,47,273","₹39,84,793","₹40,86,268","₹43,22,651","₹55,26,372","₹44,05,419","₹42,07,944","₹39,36,173","₹39,63,272","₹35,68,293","₹27,09,731","₹29,75,570","₹30,53,320","₹33,72,814","₹36,62,773","₹35,39,556","₹33,74,759","₹29,99,600","₹28,91,010","₹26,09,119","₹28,02,222","₹28,15,174","₹29,23,617","₹29,58,362","₹26,00,201","₹26,43,968","₹25,40,647","₹23,60,872","₹23,17,244","₹20,64,736","₹19,43,613","₹17,92,456","₹18,09,867","₹17,04,581","₹17,04,237","₹16,89,463","₹16,80,010","₹16,11,907","₹15,70,990","₹15,20,622",,,,,,,
Total Debt,"-4,365,305","-4,433,056","-4,487,692","-4,513,519","-4,484,629","-4,558,983","-4,551,084","-4,659,342","-4,653,583","-4,644,683","-4,680,576","-4,694,120","-4,713,228","-4,699,812","-4,719,444","-2,695,887","-2,739,672","-₹2,799,801","-₹2,719,825","-₹2,759,311","-₹2,676,912","-₹2,688,188","-₹2,694,308","-₹2,718,314","-₹2,908,788","-₹2,738,257","-₹2,742,619","-₹2,782,829","-₹2,826,130","-₹2,802,190","-₹2,783,915","-₹2,793,892","-₹2,855,306","-₹2,805,596","-₹2,806,677","-₹2,787,387","-₹2,799,852","-₹2,799,485","-₹2,806,533","-₹2,854,288","-₹2,872,146","-₹2,856,349","-₹2,879,012","-₹2,884,011",,,,,,,
Debt - Av Cash,"-₹2,861,955","-₹2,794,531","-₹3,096,244","-₹3,238,698","-₹3,095,682","-₹3,415,317","-₹3,178,216","-₹2,924,482","-₹2,634,984","-₹2,454,055","-₹2,548,051","-₹2,686,713","-₹2,517,339","-₹2,903,115","-₹3,717,777","-₹1,437,038","-₹1,266,574","-₹1,012,368","-₹592,047","-₹857,227","-₹889,612","-₹1,125,264","-₹1,204,912","-₹1,498,339","-₹1,455,137","-₹1,221,107","-₹1,173,703","-₹1,109,114","-₹1,395,986","-₹1,322,002","-₹1,389,647","-₹1,571,953","-₹1,653,983","-₹1,713,901","-₹1,807,063","-₹1,846,794","-₹1,836,067","-₹1,836,976","-₹1,761,290","-₹1,676,829","-₹1,835,041","-₹1,873,963","-₹1,940,826","-₹1,998,441",,,,,,,
Debt - Av Hard Cash,"₹7,88,990","₹48,028","-₹350,367","-₹585,472","-₹737,356","-₹574,190","-₹464,816","-₹336,691","₹8,72,789","-₹239,264","-₹472,632","-₹757,947","-₹749,956","-₹1,131,519","-₹2,009,713","₹2,79,683","₹3,13,648","₹5,73,013","₹9,42,948","₹7,80,245","₹6,97,847","₹3,11,412","₹1,96,702","-₹109,195","-₹106,566","₹76,917","₹1,80,998","₹1,75,533","-₹225,929","-₹158,222","-₹243,268","-₹433,020","-₹538,062","-₹740,860","-₹863,064","-₹994,931","-₹989,985","-₹1,094,904","-₹1,102,296","-₹1,164,825","-₹1,192,136","-₹1,244,442","-₹1,308,022","-₹1,363,389",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Wealth=
Debt-Holding","₹27,91,150","₹18,46,236","₹14,25,291","₹11,67,636","₹9,93,202","₹13,16,312","₹13,82,888","₹14,68,472","₹26,55,199","₹14,95,837","₹11,94,014","₹8,40,984","₹7,56,172","₹3,91,879","-₹505,018","₹17,83,021","₹17,68,378","₹19,43,644","₹22,62,175","₹20,65,886","₹19,26,686","₹14,82,416","₹13,32,970","₹9,89,852","₹9,63,120","₹10,99,295","₹11,59,895","₹10,92,278","₹6,53,802","₹7,09,119","₹5,87,424","₹3,69,540","₹2,18,673","-₹22,119","-₹172,059","-₹346,934","-₹356,181","-₹403,332","-₹413,128","-₹510,104","-₹530,406","-₹597,139","-₹671,021","-₹740,380",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side Hustle Earning,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,₹0,"₹1,28,817","₹1,28,817","₹1,28,817","₹1,28,817","₹1,28,817","₹1,28,817","₹1,19,149","₹1,13,749","₹1,13,749","₹91,296","₹71,946","₹71,946","₹55,971","₹27,171","₹7,758","₹1,22,168","₹68,233","₹49,378","₹35,230","₹24,160",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80C Contribution,"₹22,550","₹22,550","₹22,550","₹65,504","₹22,550","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹60,825","₹33,000","₹33,000","₹33,000","₹33,000","₹42,567","₹16,100","₹18,600","₹18,600","₹18,600","₹8,600","₹33,367","₹16,000","₹3,93,832","₹3,21,497","₹2,94,496","₹2,60,368","₹2,25,598","₹2,02,045","₹1,74,938","₹1,48,553","₹1,22,207","₹95,199","₹54,156","₹28,850","₹3,45,809","₹3,17,517","₹2,91,029","₹2,64,203","₹2,05,812","₹1,68,615","₹1,39,664","₹1,10,835","₹88,868","₹65,901","₹43,934","₹21,967",,,
80C Monthly Contri,"₹22,550","₹22,550","₹22,550","₹65,504","₹22,550","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹20,500","₹60,825","₹33,000","₹33,000","₹33,000","₹33,000","₹42,567","₹16,100","₹18,600","₹18,600","₹18,600","₹8,600","₹33,367","₹16,000","₹72,335","₹27,001","₹34,128","₹34,770","₹23,553","₹27,107","₹26,385","₹26,346","₹27,008","₹41,043","₹25,306","₹28,850","₹13,525","₹11,721","₹12,059","₹43,624","₹22,430","₹14,184","₹14,062","₹7,200","₹8,200","₹7,200","₹7,200","₹7,200",,,
80C Pending Amount,"-₹493,963","-₹471,413","-₹448,863","-₹426,313","-₹360,809","-₹338,259","-₹317,759","-₹297,259","-₹276,759","-₹256,259","-₹235,759","-₹215,259","-₹154,434","-₹121,434","-₹88,434","-₹55,434","-₹22,434","₹20,133","₹36,233","₹54,833","₹73,433","₹92,033","₹1,00,633","₹1,34,000","-₹243,832","-₹171,497","-₹144,496","-₹110,368","-₹75,598","-₹52,045","-₹24,938","₹1,447","₹27,793","₹54,801","₹95,844","₹1,21,150","-₹195,809","-₹167,517","-₹141,029","-₹114,203","-₹55,812","-₹18,615","₹10,336","₹39,165","₹61,132","₹84,099","₹1,06,066","₹1,28,033",,,
